Date,Year,Byproduct,Gross farm value,Net farm value,Wholesale value (cents per pound),Retail value (cents per pound)
Nov-71,1971,6.1,79.4,73.3,87.3,108.5
Dec-71,1971,6.2,81,74.8,90.4,110.8
Jan-72,1972,6.6,84.1,77.5,93,114
Feb-72,1972,7,85.4,78.4,93.1,118.4
Mar-72,1972,8.1,83.3,75.2,89.2,118.5
Apr-72,1972,8.5,82.1,73.6,87.2,114.6
May-72,1972,8.5,85,76.5,91.5,114.1
Jun-72,1972,8.7,89.8,81.1,96,116.3
Jul-72,1972,9.2,90.3,81.1,95.1,120.2
Aug-72,1972,9.8,84.2,74.4,88.6,118.7
Sep-72,1972,9.9,82.9,73,86.6,115.9
Oct-72,1972,10.9,83.5,72.6,86.2,115.8
Nov-72,1972,10.8,80.8,70,83.7,115.4
Dec-72,1972,10.1,88.4,78.3,93.1,117.8
Jan-73,1973,10.8,97.2,86.4,102,125.5
Feb-73,1973,11.8,103.6,91.8,108.1,134
Mar-73,1973,11.7,108.5,96.8,112,139.3
Apr-73,1973,11.5,107.2,95.7,112.5,140
May-73,1973,12.4,109.6,97.2,111.8,140.1
Jun-73,1973,12.9,112.1,99.2,114.4,139.6
Jul-73,1973,13.8,115.2,101.4,115.8,140.6
